a,b,c,d,e,f
-1.6123303819931698,54.4807906836294,7.01970485614263,95.2,6.0,2619.0
-1.6305162853391102,54.38914334594401,7.02003438725914,88.2,6.1,2480.0
-1.52472809169259,54.682928846543206,7.0919175291150705,88.0,5.8,2647.0
-1.32499606426136,54.451714465703795,7.0703619312979695,95.0,6.0,2542.0
-1.7347448336337,54.6358762289776,7.039390811199991,85.5,5.9,2546.0
-1.76074361584213,55.11908573171479,7.033488015259299,76.7,5.4,2670.0
-1.6354870737270701,54.4271389462185,7.013692191110031,94.1,6.1,2545.0
-1.8849519956061798,54.9203676161407,7.008980705224861,77.6,5.6,2700.0
-1.67234783883811,55.042139014009294,6.8203275613654295,80.1,5.5,2852.0
-1.59420295383672,54.5840024202448,6.99384153283893,79.6,5.9,2792.0
-1.72384676181254,54.8474835562806,6.92857602978795,79.1,5.7,2752.0
-1.5867849650506898,54.551306888031505,7.02914290394517,87.2,5.9,2760.0
-1.74529700062655,54.480965974272,7.0053635883849,87.1,6.0,2672.0
-1.36847063246603,54.6286273792896,7.079794396742389,94.6,5.9,2607.0
-1.75508927896341,54.551755359653704,7.03990945900372,94.6,5.9,2668.0
-1.66116732561675,54.517857917255895,6.97248665055979,86.6,6.0,2526.0
-1.6984017090098,54.7200659345764,6.970605302132831,87.8,5.8,2563.0
-1.69300263825263,54.5953328117498,6.90045234534972,78.3,5.9,2778.0
-1.6227051233891399,54.8628625532236,7.12364720153642,85.3,5.6,2517.0
-1.4716409006666598,54.6738548684955,7.16495969156013,95.0,5.8,2562.0
-1.64102525484749,54.660108107828904,7.0494939484265995,86.8,5.8,2620.0
-1.5360325429692598,54.6163421788135,7.02887139051138,87.6,5.9,2680.0
-1.6296986507500402,54.4719491774767,7.08690158194882,96.4,6.0,2546.0
-1.5753096849727901,54.62992769521111,7.0308400834614,87.2,5.9,2660.0
-1.47804741597327,54.662718909469795,7.07568801534738,94.6,5.8,2521.0
-1.5872533674935,54.4879132517144,7.11474543516925,93.6,6.0,2662.0
-1.70348406168626,54.6330502496511,6.9626575306838605,85.8,5.9,2171.0
-1.8108089839419401,54.5686054150937,6.9371170182904605,86.4,5.9,2117.0
-1.35739062733244,54.4115060231382,7.13948278147314,94.6,6.1,2575.0
-1.36529516876883,54.5844924567236,7.20380291181419,95.0,5.9,2545.0
-1.56761178303145,54.6984279214581,7.0316527112465,87.7,5.8,2675.0
-1.5268265276983402,54.7174648757211,7.1354414705916795,86.5,5.8,2598.0
-1.6066223175172498,54.617274187879104,7.033825228110241,95.7,5.9,2621.0
-1.4966998664146298,54.72797637714871,7.0882442027421,87.9,5.8,2612.0
-1.53110084945671,54.675246521904604,7.0838640332322,86.6,5.8,2498.0
-1.4891561157673898,54.2844959382081,7.12990661958407,93.8,6.2,2501.0
-1.50550928255277,54.645330057121804,7.092310874173321,86.8,5.9,2450.0
-1.4086026523016297,53.9983647305852,7.126719163943809,94.0,6.5,2403.0
-1.4139502783833102,54.5358289881738,7.20252730136325,93.7,6.0,2651.0
-1.48588872846237,54.646509819042905,7.247773477208941,93.3,5.9,2581.0
-1.8552399114375502,55.12762590420711,6.976435560600341,78.4,5.4,2800.0
-1.9588360536326799,54.7261425176517,6.978899795482861,85.2,5.8,1969.0
-1.69515984691796,54.5126322688587,7.00438194956949,79.0,6.0,2978.0
-1.48050042504534,54.67308911482579,6.97657372751605,79.5,5.8,2977.0
-1.54436130782127,54.8375483097094,7.183567011345019,86.1,5.7,2633.0
-1.29629103242092,54.6207061288535,7.252160176450619,93.8,5.9,2552.0
-1.6220133101737901,54.5998786508158,7.1161651608493495,84.5,5.9,2636.0
-1.5574043748336202,54.6495337416858,6.991489056628961,80.6,5.9,2938.0
-1.4995634980219499,54.6105278408197,7.146184188936171,94.7,5.9,2605.0
-1.45226205251311,54.6724206890271,7.18949730891466,93.8,5.8,2575.0
-1.8106746462978203,54.881415055598296,7.05034331653327,85.5,5.6,1938.0
-1.59128346446896,54.6624956533796,7.080072299552279,93.3,5.8,2518.0
-1.86497541572567,54.7746529205516,6.985664017971589,85.7,5.7,1983.0
-1.7698057058212098,55.5145915319525,7.02718124241471,77.9,5.0,2823.0
-1.49049324092994,54.703121246841896,7.163014596216541,93.2,5.8,2604.0
-1.480007708141,54.7227755381787,6.99410387308567,80.2,5.8,2951.0
-1.50186011299097,54.4589444560396,7.179212801897019,93.1,6.0,2589.0
-1.4807856373019999,54.5305257937057,7.218744037237751,92.8,6.0,2515.0
-1.5638473042988201,54.7366878779409,7.06626999452713,95.2,5.8,2651.0
-1.6977192563235899,54.7804493919291,6.9723372053988895,87.6,5.7,2715.0
-1.57832900135988,54.3233806049401,7.01545717957871,95.0,6.2,2547.0
-1.64333298937956,54.8417881212323,7.09761497588483,94.8,5.7,2543.0
-1.8581966555721,54.943324174320495,6.90357110631432,79.5,5.6,2812.0
-1.7629632033703,55.043567174579,6.9724695848270795,78.1,5.5,2839.0
-1.5325651233768,54.733984950769795,7.10177841029392,87.6,5.8,2561.0
-1.6370680450031698,54.436678488589294,6.97688453532702,88.0,6.1,2610.0
-1.6817126288605602,54.6100502287127,7.08084222355705,86.4,5.9,2424.0
-1.6070365230758998,54.7358592279545,7.00422117319012,86.6,5.8,2637.0
-1.7976836076085703,55.049518822252104,6.9839215302972,78.3,5.5,2803.0
-1.52031427434607,54.516920859618,7.06784984860489,94.3,6.0,2571.0
-1.6207815520067501,54.574817526113904,7.110601155521799,93.3,5.9,2596.0
-1.53578273338677,54.5360785384037,7.123218243178849,93.1,6.0,2437.0
-1.73126167834432,54.935112730231296,7.05398040355387,86.1,5.6,2485.0
-1.87398344120102,54.6246179013433,6.9849124771848095,84.6,5.9,2656.0
-1.55590856432191,54.7237704314376,7.07872954482031,87.5,5.8,2566.0
-1.32466733470375,54.428758414394295,7.13841840966238,93.9,6.1,2514.0
-1.70293502743957,54.739788318730895,6.99391101590229,77.5,5.8,2822.0
-1.52453069672092,54.590041358735505,7.043662643351119,86.8,5.9,2654.0
-1.4779092086205399,54.4868257559947,7.02628782879829,87.2,6.0,2628.0
-1.62238504721924,54.9505263515436,7.04733730220243,87.7,5.5,2646.0
-1.42858960651512,54.4218272818501,7.023865240075231,87.2,6.1,2777.0
-1.6051635047873403,54.7423377279494,7.04654317424328,86.2,5.8,2683.0
-1.4539493268329,54.34883089101189,7.1011027883301,95.0,6.2,2703.0
-1.7095224822706399,54.5221153479127,7.045758381989669,95.7,6.0,2693.0
-1.5589146418955002,54.753245570540706,7.02617233173663,87.0,5.7,2687.0
-1.7473892096576797,54.6475289141053,6.914616326362309,79.6,5.9,2798.0
-1.82060136358352,55.007766711040404,7.0069653283185005,79.0,5.5,2766.0
-1.48526023614537,54.877980152067,7.0996336202274595,88.6,5.6,2660.0
-1.5205541014352102,54.5110890651478,7.00640065809028,88.4,6.0,2669.0
-1.65837705025857,54.1602310052411,7.01046219229875,88.2,6.3,2578.0
-1.4423908183063898,54.70453052772671,7.1114198559737805,93.9,5.8,2479.0
-1.5546911934921799,54.3132136578063,6.99573204752562,87.2,6.2,2587.0
-1.5360058733502502,54.611795705786,7.063053430293519,87.2,5.9,2488.0
-1.9957012070587599,55.3168894741597,6.9421488595591905,78.3,5.2,2787.0
-1.93053561869506,54.8535838093742,6.933265427055839,81.6,5.6,2883.0
-2.0515227764774497,54.18222775297271,6.84105447052337,86.5,6.3,1899.0
-1.9835536416994899,54.4443758435735,6.9981514584068,78.2,6.1,2725.0
-1.58625430431693,54.69577247992021,7.03519561777396,95.0,5.8,2606.0
-1.44490575624452,54.256864934691706,7.113315196057839,94.6,6.2,2496.0
-1.8667709969433899,54.82685591824511,6.91054863513466,77.7,5.7,2713.0
-1.5387245999101897,54.4513074604371,7.1660713887360705,93.4,6.0,2425.0
-1.401783707075,54.757551289409506,7.20832479997678,94.6,5.7,2556.0
-1.6375092728124498,54.6256026886031,7.043342642349289,86.8,5.9,2680.0
-1.8837290598086,55.666130698049706,6.97174579638559,79.0,4.8,2879.0
-1.96757118281173,54.381726863986394,6.9152281481186195,87.8,6.1,2110.0
-1.6419468183427701,54.4718606354119,7.06588484906438,93.4,6.0,2538.0
-1.5662198377277698,54.6083163835559,7.1072752332744304,93.1,5.9,2636.0
-1.52228538874455,54.6195938018649,7.031154581105651,88.1,5.9,2641.0
-1.74929196309929,54.5034255856954,6.97461330745149,87.6,6.0,2109.0
-1.78146360461724,54.5639609428656,6.90127172428654,79.5,5.9,2817.0
-1.69004570264426,54.7839138450187,7.04194529127489,78.6,5.7,2779.0
-1.63970523837121,54.6561005692558,7.04574470574606,87.5,5.8,2673.0
-1.57586019698461,54.54328889440829,7.01860952403706,86.5,6.0,2588.0
-1.5288260402323202,54.4795494360064,7.12348901118742,94.4,6.0,2588.0
-1.6217664725706002,54.520620224129104,7.06972228501758,94.0,6.0,2553.0
-1.77791673850981,54.900392468024904,6.99037948524097,78.2,5.6,2721.0
-1.64140262380579,55.0299423529953,7.187907129812269,92.9,5.5,2486.0
-1.72840156528047,54.6146294985901,7.02252117397524,78.1,5.9,2673.0
-1.38878120998391,54.6456992817901,7.16942898181922,93.8,5.9,2531.0
-1.6199376759049902,54.7283328075974,7.3004948120920705,91.8,5.8,2481.0
-1.5542989616125802,54.734228639574205,7.08805616721324,88.1,5.8,2512.0
-1.6567127947978602,54.386589124691,7.008218442284041,86.4,6.1,2552.0
-1.52009136400208,54.3176044693635,7.1958986525401,93.3,6.2,2395.0
-1.71517821627997,54.6364426416364,7.149529062133929,85.6,5.9,2504.0
-1.57137820674332,54.8788637031649,7.27206242835659,93.5,5.6,2511.0
-1.7084255986608703,54.7410602972822,7.12036636538682,86.5,5.8,2714.0
-1.89271751277068,55.0696885945242,7.067746133875031,78.0,5.4,2700.0
-1.59493095222967,54.5227676141162,7.27635129050005,92.5,6.0,2606.0
-1.57749922284444,54.688373614819795,7.12954277383258,85.5,5.8,2591.0
-1.64739862362497,54.735930832037894,7.087630321838669,85.1,5.8,2564.0
-1.78087663649444,54.5443371803619,7.02302124975986,78.9,6.0,2838.0
-1.5799625905511698,54.7069744914306,7.100184575771,86.0,5.8,2582.0
-1.6622851548238502,54.4717107904422,7.1099622219483205,94.1,6.0,2595.0
-1.6312054179937199,54.511591152515706,7.14696954879004,86.3,6.0,2493.0
-1.68653015931463,54.771891612165795,7.11273835724316,84.9,5.7,2483.0
-1.74066110070611,55.40384350251411,7.023762692299191,76.5,5.1,2716.0
-1.8421701663949799,55.252328194984294,7.092177975226179,77.5,5.2,2661.0
-1.41780157615049,54.36768401243339,7.15615755529406,94.2,6.1,2586.0
-1.5515487475713403,54.1945782552849,7.007396561823549,95.1,6.3,2587.0
-1.7343639307365801,54.4688434800661,7.0650121557552,93.8,6.0,2528.0
-1.78080130404376,55.119364327073406,7.07004141262511,78.4,5.4,2791.0
-1.55447525885588,54.8143260822625,7.232922822342731,93.6,5.7,2548.0
-1.84377161837111,54.08198823018971,6.82689405885621,87.0,6.4,2024.0
-1.58482365148071,54.5984260621652,7.01732751497871,94.3,5.9,2454.0
-1.86585138245307,54.6787720132051,6.986789792855389,77.8,5.8,2710.0
-1.60116780506089,54.111102411633304,7.00929292869174,87.6,6.4,2428.0
-1.6160267411206102,54.7680825531107,6.96079908610343,88.3,5.7,2668.0
-1.66993191084147,54.7587153393129,7.06138774458846,87.8,5.7,2683.0
-1.70894270457142,54.81379766647,7.08541083903806,86.8,5.7,2532.0
-1.63858489617304,54.8338751076913,6.985264258382349,85.8,5.7,2586.0
-1.69409107634976,54.57099477047729,6.88741655327607,80.0,5.9,2896.0
